Month,Day,W_max,S_max
1,1,400,767
1,2,400,767
1,3,400,767
1,4,400,767
1,5,400,767
1,6,400,767
1,7,400,767
1,8,400,767
1,9,400,767
1,10,400,767
1,11,400,767
1,12,400,767
1,13,400,767
1,14,400,767
1,15,400,767
1,16,400,767
1,17,400,767
1,18,400,767
1,19,400,767
1,20,400,767
1,21,400,767
1,22,400,767
1,23,400,767
1,24,400,767
1,25,400,767
1,26,400,767
1,27,400,767
1,28,400,767
1,29,400,767
1,30,400,767
1,31,400,767
2,1,400,767
2,2,400,767
2,3,400,767
2,4,400,767
2,5,400,767
2,6,400,767
2,7,400,767
2,8,400,767
2,9,400,767
2,10,400,767
2,11,400,767
2,12,400,767
2,13,400,767
2,14,400,767
2,15,400,767
2,16,400,767
2,17,400,767
2,18,400,767
2,19,400,767
2,20,400,767
2,21,400,767
2,22,400,767
2,23,400,767
2,24,400,767
2,25,400,767
2,26,400,767
2,27,400,767
2,28,400,767
2,29,400,767
3,1,402.4210526,769.4210526
3,2,404.8421053,771.8421053
3,3,407.2631579,774.2631579
3,4,409.6842105,776.6842105
3,5,412.1052632,779.1052632
3,6,414.5263158,781.5263158
3,7,416.9473684,783.9473684
3,8,419.3684211,786.3684211
3,9,421.7894737,788.7894737
3,10,424.2105263,791.2105263
3,11,426.6315789,793.6315789
3,12,429.0526316,796.0526316
3,13,431.4736842,798.4736842
3,14,433.8947368,800.8947368
3,15,436.3157895,803.3157895
3,16,438.7368421,805.7368421
3,17,441.1578947,808.1578947
3,18,443.5789474,810.5789474
3,19,446,813
3,20,448.4210526,815.4210526
3,21,450.8421053,817.8421053
3,22,453.2631579,820.2631579
3,23,455.6842105,822.6842105
3,24,458.1052632,825.1052632
3,25,460.5263158,827.5263158
3,26,462.9473684,829.9473684
3,27,465.3684211,832.3684211
3,28,467.7894737,834.7894737
3,29,470.2105263,837.2105263
3,30,472.6315789,839.6315789
3,31,475.0526316,842.0526316
4,1,477.4736842,844.4736842
4,2,479.8947368,846.8947368
4,3,482.3157895,849.3157895
4,4,484.7368421,851.7368421
4,5,487.1578947,854.1578947
4,6,489.5789474,856.5789474
4,7,492,859
4,8,494.4210526,861.4210526
4,9,496.8421053,863.8421053
4,10,499.2631579,866.2631579
4,11,501.6842105,868.6842105
4,12,504.1052632,871.1052632
4,13,506.5263158,873.5263158
4,14,508.9473684,875.9473684
4,15,511.3684211,878.3684211
4,16,513.7894737,880.7894737
4,17,516.2105263,883.2105263
4,18,518.6315789,885.6315789
4,19,521.0526316,888.0526316
4,20,523.4736842,890.4736842
4,21,525.8947368,892.8947368
4,22,528.3157895,895.3157895
4,23,530.7368421,897.7368421
4,24,533.1578947,900.1578947
4,25,535.5789474,902.5789474
4,26,538,905
4,27,540.4210526,907.4210526
4,28,542.8421053,909.8421053
4,29,545.2631579,912.2631579
4,30,547.6842105,914.6842105
5,1,550.1052632,917.1052632
5,2,552.5263158,919.5263158
5,3,554.9473684,921.9473684
5,4,557.3684211,924.3684211
5,5,559.7894737,926.7894737
5,6,562.2105263,929.2105263
5,7,564.6315789,931.6315789
5,8,567.0526316,934.0526316
5,9,569.4736842,936.4736842
5,10,571.8947368,938.8947368
5,11,574.3157895,941.3157895
5,12,576.7368421,943.7368421
5,13,579.1578947,946.1578947
5,14,581.5789474,948.5789474
5,15,584,951
5,16,585,952
5,17,586,953
5,18,587,954
5,19,588,955
5,20,589,956
5,21,590,957
5,22,591,958
5,23,592,959
5,24,593,960
5,25,594,961
5,26,595,962
5,27,596,963
5,28,597,964
5,29,598,965
5,30,599,966
5,31,600,967
6,1,600,967
6,2,600,967
6,3,600,967
6,4,600,967
6,5,600,967
6,6,600,967
6,7,600,967
6,8,600,967
6,9,600,967
6,10,600,967
6,11,600,967
6,12,600,967
6,13,600,967
6,14,600,967
6,15,600,967
6,16,600,967
6,17,600,967
6,18,600,967
6,19,600,967
6,20,600,967
6,21,600,967
6,22,600,967
6,23,600,967
6,24,600,967
6,25,600,967
6,26,600,967
6,27,600,967
6,28,600,967
6,29,600,967
6,30,600,967
7,1,600,967
7,2,600,967
7,3,600,967
7,4,600,967
7,5,600,967
7,6,600,967
7,7,600,967
7,8,600,967
7,9,600,967
7,10,600,967
7,11,600,967
7,12,600,967
7,13,600,967
7,14,600,967
7,15,600,967
7,16,600,967
7,17,600,967
7,18,600,967
7,19,600,967
7,20,600,967
7,21,600,967
7,22,600,967
7,23,600,967
7,24,600,967
7,25,600,967
7,26,600,967
7,27,600,967
7,28,600,967
7,29,600,967
7,30,600,967
7,31,600,967
8,1,600,967
8,2,600,967
8,3,600,967
8,4,600,967
8,5,600,967
8,6,600,967
8,7,600,967
8,8,600,967
8,9,600,967
8,10,600,967
8,11,600,967
8,12,600,967
8,13,600,967
8,14,600,967
8,15,600,967
8,16,600,967
8,17,600,967
8,18,600,967
8,19,600,967
8,20,600,967
8,21,600,967
8,22,600,967
8,23,600,967
8,24,600,967
8,25,600,967
8,26,600,967
8,27,600,967
8,28,600,967
8,29,600,967
8,30,600,967
8,31,600,967
9,1,600,967
9,2,600,967
9,3,600,967
9,4,600,967
9,5,600,967
9,6,600,967
9,7,600,967
9,8,600,967
9,9,600,967
9,10,600,967
9,11,600,967
9,12,600,967
9,13,600,967
9,14,600,967
9,15,600,967
9,16,600,967
9,17,600,967
9,18,600,967
9,19,600,967
9,20,600,967
9,21,600,967
9,22,600,967
9,23,600,967
9,24,600,967
9,25,600,967
9,26,600,967
9,27,600,967
9,28,600,967
9,29,600,967
9,30,600,967
10,1,595.9183673,962.9183673
10,2,591.8367347,958.8367347
10,3,587.755102,954.755102
10,4,583.6734694,950.6734694
10,5,579.5918367,946.5918367
10,6,575.5102041,942.5102041
10,7,571.4285714,938.4285714
10,8,567.3469388,934.3469388
10,9,563.2653061,930.2653061
10,10,559.1836735,926.1836735
10,11,555.1020408,922.1020408
10,12,551.0204082,918.0204082
10,13,546.9387755,913.9387755
10,14,542.8571429,909.8571429
10,15,538.7755102,905.7755102
10,16,534.6938776,901.6938776
10,17,530.6122449,897.6122449
10,18,526.5306122,893.5306122
10,19,522.4489796,889.4489796
10,20,518.3673469,885.3673469
10,21,514.2857143,881.2857143
10,22,510.2040816,877.2040816
10,23,506.122449,873.122449
10,24,502.0408163,869.0408163
10,25,497.9591837,864.9591837
10,26,493.877551,860.877551
10,27,489.7959184,856.7959184
10,28,485.7142857,852.7142857
10,29,481.6326531,848.6326531
10,30,477.5510204,844.5510204
10,31,473.4693878,840.4693878
11,1,469.3877551,836.3877551
11,2,465.3061224,832.3061224
11,3,461.2244898,828.2244898
11,4,457.1428571,824.1428571
11,5,453.0612245,820.0612245
11,6,448.9795918,815.9795918
11,7,444.8979592,811.8979592
11,8,440.8163265,807.8163265
11,9,436.7346939,803.7346939
11,10,432.6530612,799.6530612
11,11,428.5714286,795.5714286
11,12,424.4897959,791.4897959
11,13,420.4081633,787.4081633
11,14,416.3265306,783.3265306
11,15,412.244898,779.244898
11,16,408.1632653,775.1632653
11,17,404.0816327,771.0816327
11,18,400,767
11,19,400,767
11,20,400,767
11,21,400,767
11,22,400,767
11,23,400,767
11,24,400,767
11,25,400,767
11,26,400,767
11,27,400,767
11,28,400,767
11,29,400,767
11,30,400,767
12,1,400,767
12,2,400,767
12,3,400,767
12,4,400,767
12,5,400,767
12,6,400,767
12,7,400,767
12,8,400,767
12,9,400,767
12,10,400,767
12,11,400,767
12,12,400,767
12,13,400,767
12,14,400,767
12,15,400,767
12,16,400,767
12,17,400,767
12,18,400,767
12,19,400,767
12,20,400,767
12,21,400,767
12,22,400,767
12,23,400,767
12,24,400,767
12,25,400,767
12,26,400,767
12,27,400,767
12,28,400,767
12,29,400,767
12,30,400,767
12,31,400,767
